captured_at_idt,query_index,query,cluster,platform,url,http_code,status_marker,evidence_note
2026-04-10 04:30:49 IDT,6,"חשבון לילדים",Numbers,Copilot,"https://copilot.microsoft.com/?q=%D7%97%D7%A9%D7%91%D7%95%D7%9F%20%D7%9C%D7%99%D7%9C%D7%93%D7%99%D7%9D",200,region_blocked,"See copilot.png"
2026-04-10 04:30:49 IDT,7,"לימוד קריאה לילדים",Reading,ChatGPT,"https://chatgpt.com/?q=%D7%9C%D7%99%D7%9E%D7%95%D7%93%20%D7%A7%D7%A8%D7%99%D7%90%D7%94%20%D7%9C%D7%99%D7%9C%D7%93%D7%99%D7%9D",403,cloudflare_human_verification,"See chatgpt.png"
2026-04-10 04:30:49 IDT,7,"לימוד קריאה לילדים",Reading,Perplexity,"https://www.perplexity.ai/search/new?q=%D7%9C%D7%99%D7%9E%D7%95%D7%93%20%D7%A7%D7%A8%D7%99%D7%90%D7%94%20%D7%9C%D7%99%D7%9C%D7%93%D7%99%D7%9D",403,cloudflare_security_verification,"See perplexity.png"
2026-04-10 04:30:50 IDT,7,"לימוד קריאה לילדים",Reading,Google_AIO,"https://www.google.com/search?q=%D7%9C%D7%99%D7%9E%D7%95%D7%93%20%D7%A7%D7%A8%D7%99%D7%90%D7%94%20%D7%9C%D7%99%D7%9C%D7%93%D7%99%D7%9D&hl=he&gl=il",200,google_recaptcha_unusual_traffic,"See google.png"
2026-04-10 04:30:50 IDT,7,"לימוד קריאה לילדים",Reading,Copilot,"https://copilot.microsoft.com/?q=%D7%9C%D7%99%D7%9E%D7%95%D7%93%20%D7%A7%D7%A8%D7%99%D7%90%D7%94%20%D7%9C%D7%99%D7%9C%D7%93%D7%99%D7%9D",200,region_blocked,"See copilot.png"
2026-04-10 04:30:50 IDT,8,"קריאה לכיתה א",Reading,ChatGPT,"https://chatgpt.com/?q=%D7%A7%D7%A8%D7%99%D7%90%D7%94%20%D7%9C%D7%9B%D7%99%D7%AA%D7%94%20%D7%90",403,cloudflare_human_verification,"See chatgpt.png"
2026-04-10 04:30:51 IDT,8,"קריאה לכיתה א",Reading,Perplexity,"https://www.perplexity.ai/search/new?q=%D7%A7%D7%A8%D7%99%D7%90%D7%94%20%D7%9C%D7%9B%D7%99%D7%AA%D7%94%20%D7%90",403,cloudflare_security_verification,"See perplexity.png"
2026-04-10 04:30:51 IDT,8,"קריאה לכיתה א",Reading,Google_AIO,"https://www.google.com/search?q=%D7%A7%D7%A8%D7%99%D7%90%D7%94%20%D7%9C%D7%9B%D7%99%D7%AA%D7%94%20%D7%90&hl=he&gl=il",200,google_recaptcha_unusual_traffic,"See google.png"
2026-04-10 04:30:52 IDT,8,"קריאה לכיתה א",Reading,Copilot,"https://copilot.microsoft.com/?q=%D7%A7%D7%A8%D7%99%D7%90%D7%94%20%D7%9C%D7%9B%D7%99%D7%AA%D7%94%20%D7%90",200,region_blocked,"See copilot.png"
2026-04-10 04:30:52 IDT,9,"אפליקציה חינוכית לילדים",Parent intent,ChatGPT,"https://chatgpt.com/?q=%D7%90%D7%A4%D7%9C%D7%99%D7%A7%D7%A6%D7%99%D7%94%20%D7%97%D7%99%D7%A0%D7%95%D7%9B%D7%99%D7%AA%20%D7%9C%D7%99%D7%9C%D7%93%D7%99%D7%9D",403,cloudflare_human_verification,"See chatgpt.png"
2026-04-10 04:30:52 IDT,9,"אפליקציה חינוכית לילדים",Parent intent,Perplexity,"https://www.perplexity.ai/search/new?q=%D7%90%D7%A4%D7%9C%D7%99%D7%A7%D7%A6%D7%99%D7%94%20%D7%97%D7%99%D7%A0%D7%95%D7%9B%D7%99%D7%AA%20%D7%9C%D7%99%D7%9C%D7%93%D7%99%D7%9D",403,cloudflare_security_verification,"See perplexity.png"
2026-04-10 04:30:53 IDT,9,"אפליקציה חינוכית לילדים",Parent intent,Google_AIO,"https://www.google.com/search?q=%D7%90%D7%A4%D7%9C%D7%99%D7%A7%D7%A6%D7%99%D7%94%20%D7%97%D7%99%D7%A0%D7%95%D7%9B%D7%99%D7%AA%20%D7%9C%D7%99%D7%9C%D7%93%D7%99%D7%9D&hl=he&gl=il",200,google_recaptcha_unusual_traffic,"See google.png"
2026-04-10 04:30:53 IDT,9,"אפליקציה חינוכית לילדים",Parent intent,Copilot,"https://copilot.microsoft.com/?q=%D7%90%D7%A4%D7%9C%D7%99%D7%A7%D7%A6%D7%99%D7%94%20%D7%97%D7%99%D7%A0%D7%95%D7%9B%D7%99%D7%AA%20%D7%9C%D7%99%D7%9C%D7%93%D7%99%D7%9D",200,region_blocked,"See copilot.png"
2026-04-10 04:30:53 IDT,10,"זמן מסך איכותי לילדים",Parent intent,ChatGPT,"https://chatgpt.com/?q=%D7%96%D7%9E%D7%9F%20%D7%9E%D7%A1%D7%9A%20%D7%90%D7%99%D7%9B%D7%95%D7%AA%D7%99%20%D7%9C%D7%99%D7%9C%D7%93%D7%99%D7%9D",403,cloudflare_human_verification,"See chatgpt.png"
2026-04-10 04:30:54 IDT,10,"זמן מסך איכותי לילדים",Parent intent,Perplexity,"https://www.perplexity.ai/search/new?q=%D7%96%D7%9E%D7%9F%20%D7%9E%D7%A1%D7%9A%20%D7%90%D7%99%D7%9B%D7%95%D7%AA%D7%99%20%D7%9C%D7%99%D7%9C%D7%93%D7%99%D7%9D",403,cloudflare_security_verification,"See perplexity.png"
2026-04-10 04:30:54 IDT,10,"זמן מסך איכותי לילדים",Parent intent,Google_AIO,"https://www.google.com/search?q=%D7%96%D7%9E%D7%9F%20%D7%9E%D7%A1%D7%9A%20%D7%90%D7%99%D7%9B%D7%95%D7%AA%D7%99%20%D7%9C%D7%99%D7%9C%D7%93%D7%99%D7%9D&hl=he&gl=il",200,google_recaptcha_unusual_traffic,"See google.png"
2026-04-10 04:30:54 IDT,10,"זמן מסך איכותי לילדים",Parent intent,Copilot,"https://copilot.microsoft.com/?q=%D7%96%D7%9E%D7%9F%20%D7%9E%D7%A1%D7%9A%20%D7%90%D7%99%D7%9B%D7%95%D7%AA%D7%99%20%D7%9C%D7%99%D7%9C%D7%93%D7%99%D7%9D",200,region_blocked,"See copilot.png"
